Time (ps),RMSD (nm)
7740.0, 0.3157828
7750.0, 0.3453665
7760.0, 0.3069892
7770.0, 0.2934757
7780.0, 0.3123041
7790.0, 0.2953452
7800.0, 0.3282806
7810.0, 0.3498762
7820.0, 0.3479746
7830.0, 0.3319367
7840.0, 0.3492852
7850.0, 0.3280374
7860.0, 0.3258339
7870.0, 0.3162009
7880.0, 0.3218666
7890.0, 0.3020042
7900.0, 0.283613
7910.0, 0.2578064
7920.0, 0.255541
7930.0, 0.2102548
7940.0, 0.2419804
7950.0, 0.2484106
7960.0, 0.2523001
7970.0, 0.2459584
7980.0, 0.2718164
7990.0, 0.2739525
8000.0, 0.2955101
8010.0, 0.3289679
8020.0, 0.3202295
8030.0, 0.3381006
8040.0, 0.3297568
8050.0, 0.3485961
8060.0, 0.3718081
8070.0, 0.3751777
8080.0, 0.337518
8090.0, 0.3197287
8100.0, 0.3479054
8110.0, 0.3814997
8120.0, 0.3577888
8130.0, 0.3459918
8140.0, 0.3009827
8150.0, 0.3465096
8160.0, 0.3358483
8170.0, 0.350607
8180.0, 0.355888
8190.0, 0.3790443
8200.0, 0.3884861
8210.0, 0.3881358
8220.0, 0.3722171
8230.0, 0.3644609
8240.0, 0.3682687
8250.0, 0.3825709
8260.0, 0.4181956
8270.0, 0.4473026
8280.0, 0.4641879
8290.0, 0.4393716
8300.0, 0.4421506
8310.0, 0.4393863
8320.0, 0.4545394
8330.0, 0.4303813
8340.0, 0.4405898
8350.0, 0.4143064
8360.0, 0.4033099
8370.0, 0.3992734
8380.0, 0.4113944
8390.0, 0.4102707
8400.0, 0.3871493
8410.0, 0.346678
8420.0, 0.351577
8430.0, 0.4023222
8440.0, 0.4101638
8450.0, 0.3911193
8460.0, 0.3507144
8470.0, 0.372665
8480.0, 0.3731202
8490.0, 0.3770141
8500.0, 0.3533835
8510.0, 0.3819293
8520.0, 0.3775515
8530.0, 0.4000418
8540.0, 0.393447
8550.0, 0.3736886
8560.0, 0.3802368
8570.0, 0.3722873
8580.0, 0.3575351
8590.0, 0.3435234
8600.0, 0.335206
8610.0, 0.3492219
8620.0, 0.3614602
8630.0, 0.3724026
8640.0, 0.3868217
8650.0, 0.4260663
8660.0, 0.4764678
8670.0, 0.4713016
8680.0, 0.4800179
8690.0, 0.4585175
8700.0, 0.4615958
8710.0, 0.4504871
8720.0, 0.4334662
8730.0, 0.4371811
8740.0, 0.4475899
8750.0, 0.4651825
8760.0, 0.4278187
8770.0, 0.4015889
8780.0, 0.4313316
